kelime,aciklama
HTTP,Bir istemci ile sunucu arasında veri iletişimini sağlayan protokoldür.
Form input,Kullanıcıdan veri alınan HTML bileşenidir.
strip(string.punctuation),Metinden noktalama işaretlerini temizler.
sequence padding,Dizi uzunluklarını eşitleme işlemidir.
model yükleme,Kayıtlı modelin belleğe alınması sürecidir.
serileştirme,Nesneleri dosyaya kaydedilebilir hale getirme işlemidir.
çift tırnak string,Python'da metinleri belirtmek için kullanılır.
request.form["metin"],Formdan gelen metin girdisini alır.
boolean,Yalnızca True veya False değeri alabilen veri türüdür.
if request.method == "POST",Formun gönderilip gönderilmediğini kontrol eder.
çeviri,Metni bir dilden başka bir dile dönüştürme işlemidir.
GoogleTranslator.translate,Kelimeyi belirtilen dile çevirir.
return,Python fonksiyonlarında geri dönüş sağlar.
continue,İlgili döngünün bir sonraki iterasyonuna geçer.
try-except,Hataları yakalayıp çözüme yönlendirme yapısıdır.
seq,Modelin giriş olarak kullandığı sıralı sayı verisidir.
verbose=0,Tahmin sırasında çıktı bastırma seçeneğidir.
append,Listeye yeni öğe ekler.
maxlen=,Maksimum uzunluk sınırı belirler.
input_shape[1],Modelin giriş katmanındaki özellik sayısıdır.
"translate" in request.form,Formdan çeviri isteği olup olmadığını kontrol eder.
çift eşittir (==),Karşılaştırma operatörüdür.
for döngüsü,Bir liste veya dizide yineleme yapmak için kullanılır.
metin.split(),Metni boşluk karakterlerine göre ayırır.
model.predict(seq),Verilen girişe göre tahmin yapan komut.
çerçeve,Verilerin satır ve sütun formatında tutulduğu yapı.
values[0],Veri çerçevesinden ilk değeri alır.
input("..."),Kullanıcıdan giriş almak için kullanılır (CLI'de).
Yapay Zeka,Veriyle öğrenip karar verebilen algoritmalar bütünüdür.
Yazılım Terimi,Genellikle yazılım geliştirmeye özgü kavramlardır.
Makine Öğrenimi,Verilerden örüntüleri öğrenen algoritmalardır.
Veri Kümesi,Eğitim veya test için kullanılan veri topluluğudur.
Model Doğruluğu,Bir modelin tahminlerinin doğruluk oranıdır.
Veri Ön İşleme,Ham verilerin analiz öncesi temizlenmesidir.
Eşik Değeri,Tahminin sınıflandırılmasını belirleyen sınırdır.
Başlık etiketi,HTML’de `<h1>` gibi başlık oluşturan etiketlerdir.
Kodlama Dili,Bilgisayarla iletişim kurmayı sağlayan yapay dildir.
Eğitim Verisi,Modelin öğrenmesi için kullanılan veridir.
Tahmin,Modelin girdi verisine göre çıktısını üretmesi.
Index Route,Web uygulamasının ana sayfa yönlendirmesidir.
Yönlendirme,Web uygulamasında URL’leri işlevlerle eşleştirme işlemidir.
Model dosyası,Eğitilmiş yapay zeka modelinin kaydedildiği dosyadır.
Preprocessing,Verileri model eğitimine hazırlamak için yapılan işlemlerdir.
Tokenizer,Kelimeleri sayılara dönüştüren dönüştürücü nesnedir.
HDF5,Yüksek performanslı veri saklama formatıdır.
Eğitim,Tahmin modeli oluşturmak için verilerle yapılan öğrenme sürecidir.
Tahmin fonksiyonu,Modelin yeni girdilere karşılık verdiği yöntemdir.
Veri temizleme,Hatalı eksik ya da gereksiz verilerin ayıklanmasıdır.
Sayısallaştırma,Metinlerin sayısal forma dönüştürülmesidir.
Web sunucusu,Kullanıcılardan gelen HTTP isteklerine yanıt veren yazılımdır.
HTML şablonu,Dinamik içerik üretmek için kullanılan HTML yapısıdır.
Veri çerçevesi,Satır ve sütunlardan oluşan tablo benzeri yapı.
Serileştirme,Verilerin dosyaya dönüştürülmesi ve yeniden okunabilir hale getirilmesidir.
Liste,Python'da veri saklamak için kullanılan diziler.
Veri tipi,Bir değişkenin hangi türde bilgi tuttuğunu gösterir.
Yorum satırı,Kodda açıklama eklemek için kullanılan satırdır.
Kullanıcı girdisi,Kullanıcının uygulamaya sağladığı veridir.
Çeviri işlemi,Bir metnin başka bir dile çevrilmesidir.
Tahmin sonucu,Modelin verdiği olasılık değeri ya da sınıf.
HTTP methodları,Web'de veri alışverişinde kullanılan işlemler (GET- POST vb).
CSV okuma,Pandas ile veri dosyasını belleğe alma işlemidir.
Veri sütunu,Veri çerçevesinde dikey bilgi dizisi.
Veri satırı,Veri çerçevesinde yatay bilgi dizisi.
Anahtar kelime,Programlama dilinde özel anlam taşıyan kelimeler.
Web arayüzü,Kullanıcının uygulamayla etkileşimde bulunduğu yüzey.
Düğme,HTML’de tıklanabilir arayüz bileşenidir.
Form gönderimi,Kullanıcının giriş yaptığı veriyi sunucuya iletmesidir.
Veri doğrulama,Gelen verilerin geçerliliğini kontrol etme işlemidir.
Boole kontrol,True/False değerine göre işlem yürütmedir.
Model puanı,Modelin tahmine verdiği olasılık değeri.
HTTP isteği,Web istemcilerinin yaptığı veri çağrısıdır.
HTTP yanıtı,Sunucudan istemciye dönen cevaptır.
Sunucu tarafı kodlama,Kodun sunucuda çalıştığı yazılım geliştirme biçimidir.
İstemci tarafı kodlama,Tarayıcıda çalışan kodlama (JavaScript vb.).
Hata yakalama,Bir kod bloğunda hata olursa onu yönetme sürecidir.
Global değişken,Tüm fonksiyonlarda erişilebilen değişkendir.
Yerel değişken,Yalnızca tanımlandığı fonksiyonda geçerli olan değişkendir.
Yol yönlendirme,Flask’ta URL’lere işlev atama tekniğidir.
Form alanı,HTML formunda veri girilen bölüm.
Response nesnesi,Flask’ta HTTP yanıtını temsil eden yapı.
Kod satırı,Bir programın tek bir işlem adımıdır.
Kod bloğu,Birden fazla satırdan oluşan işlem grubu.
Veri akışı,Verilerin uygulama içinde izlediği yol.
Dosya uzantısı,Bir dosyanın türünü gösteren sonek (.csv- .h5).
İşaretçi,Pythonda bir dosyayı veya nesneyi işaret eden yapı.
Sınıflandırma,Tahmin problemlerinde verilerin kategoriye ayrılmasıdır.
Yorumlu kod,Geliştirici notları içeren açıklamalı kod bölümleri.
Debug mod,Geliştirme sırasında hata ayıklamayı kolaylaştıran moddur.
Ana fonksiyon,Programın çalışmasını başlatan kod parçası.
Yönlendirme fonksiyonu,URL ile çağrıldığında çalışan fonksiyondur.
Çok dilli destek,Çeviri veya çoklu dil kullanılabilen uygulama özelliği.
Duyarlılık,Modelin doğru pozitifleri bulma yeteneğidir.
Özgüllük,Modelin doğru negatifleri ayırma yeteneğidir.
Giriş verisi,Modelin analiz etmesi için aldığı bilgi.
Çıkış verisi,Modelin ürettiği tahmin sonucu.
Kaynak kod,Programın geliştirici tarafından yazılmış ham hali.
Kod derleyici,Kodu çalıştırılabilir hale getiren program.
Yardımcı fonksiyon,Karmaşık işlemleri basitleştirmek için yazılan küçük fonksiyonlardır.
Noktalama temizliği,Noktalama işaretlerinin metinden çıkarılmasıdır.
Kod okunabilirliği,Kodun başka geliştiriciler tarafından kolay anlaşılmasıdır.
Birim test,Her fonksiyonun ayrı ayrı test edilmesi yöntemidir.
Veri standardizasyonu,Farklı verilerin aynı formata getirilmesidir.
Tamsayı,Ondalıklı olmayan sayılardır (örnek: 42).
Ondalık sayı,Virgüllü sayılardır (örnek: 3.14).
Negatif kelime,Yazılım terimi olmayan ya da olumsuz içerikli kelimedir.
Pozitif kelime,Yazılım alanında olumlu veya geçerli kabul edilen terimlerdir.
Dinamik sayfa,İçeriği kullanıcıya göre değişen web sayfasıdır.
Statik sayfa,Sabit içeriğe sahip web sayfasıdır.
Veri analizi,Veriler üzerinde inceleme ve sonuç çıkarma sürecidir.
Kod bağımlılığı,Bir kod parçasının başka bir parçaya ihtiyaç duymasıdır.
Boşluk karakteri,Yazıda görünmeyen ama ayrım oluşturan karakter (space).
Koşullu ifade,Şartlara göre çalışan kod yapısıdır.
Karar yapısı,Koşullar altında çalışan kontrol akışlarıdır.
Veri görselleştirme,Verileri grafikle ifade etme işlemidir.
Dizileme,Kelimelerin sıraya sokularak işlendiği yapıdır.
Web uygulaması,Tarayıcı üzerinden erişilebilen yazılım sistemidir.
Tarayıcı,Web sayfalarını görüntülemek için kullanılan yazılımdır.
İstemci-sunucu modeli,Veri alışverişini sağlayan sistem yapısıdır.
Sözlük yapısı,Anahtar-değer çiftlerini tutan Python veri yapısıdır.
Listeleme,Veri kümesinin elemanlarını sıralama işlemidir.
Boş liste,İçinde veri bulunmayan Python listesi.
Veri seçimi,Veri kümesinden belirli öğeleri alma işlemi.
if-else yapısı,Şarta göre iki farklı kod bloğu arasında geçiş yapılmasını sağlar.
İndeksleme,Veri kümesinde belirli elemanlara ulaşmak için kullanılır.
Kapsam,Yerel ya da global değişkenin nerede geçerli olduğunu belirler.
Çalışma zamanı,Programın çalıştığı süre zarfıdır.
Bellek,Geçici verilerin saklandığı donanım alanıdır.
Veri kümesi dosyası,Eğitim ve test verilerini tutan dosyadır.
Tür dönüşümü,Bir veri tipini başka bir tipe çevirme işlemidir.
Kod tekrarı,Aynı kod bloklarının birden fazla yerde yazılmasıdır.
Yazılım mühendisliği,Yazılımın sistemli biçimde geliştirilmesidir.
Veri tutarlılığı,Verilerin mantıklı ve doğru olması durumu.
Giriş kontrolü,Kullanıcıdan alınan verinin geçerliliğini denetleme.
Bağımsız değişken,Modelde girdiyi temsil eden değişkendir.
Bağımlı değişken,Modelde sonucu temsil eden değişkendir.
Parametre,Fonksiyonlara dışarıdan verilen girişlerdir.
Dönüt,Modelin verdiği sonucun uygulama tarafından ele alınışı.
Eşik ayarı,Modelin 0-1 arası tahminlerinde sınıf belirleme sınırıdır.
Gerçek pozitif,Modelin doğru şekilde olumlu tahmin yaptığı durumdur.
Yanlış pozitif,Modelin yanlış şekilde olumlu tahmin yaptığı durumdur.
Gerçek negatif,Modelin doğru şekilde olumsuz tahmin yaptığı durumdur.
Yanlış negatif,Modelin yanlış şekilde olumsuz tahmin yaptığı durumdur.
Veri seti,Modelin eğitildiği ya da test edildiği veri topluluğudur.
Test verisi,Eğitilmiş modelin doğruluğunun ölçüldüğü veri grubudur.
Eğitim verisi,Modelin öğrenmesini sağladığı veri grubudur.
Çok sınıflı sınıflandırma,Üçten fazla kategoriye ayrılan veri sınıflandırma türüdür.
İkili sınıflandırma,Yalnızca iki sınıfa ayrılan tahmin modeli türüdür.
Epoch,Bir veri kümesinin model tarafından tamamen taranma sayısıdır.
Batch size,Her eğitim adımında kullanılan veri örneği sayısıdır.
Doğruluk oranı,Modelin doğru tahminlerinin tüm tahminlere oranıdır.
Kayıp fonksiyonu,Modelin ne kadar hata yaptığını hesaplayan formüldür.
Optimizasyon,Modelin hatasını en aza indirmek için yapılan işlemler bütünüdür.
Aktivasyon fonksiyonu,Sinir ağında çıktı üreten matematiksel fonksiyondur.
Softmax,Çok sınıflı sınıflandırmada her sınıfa olasılık veren fonksiyondur.
Sigmoid,Çıktıyı 0 ile 1 arasında sınırlandıran aktivasyon fonksiyonudur.
Katman,Yapay sinir ağlarında birden çok nöronun birleşimidir.
Giriş katmanı,Modelin aldığı verilerin ilk işlendiği kısımdır.
Çıkış katmanı,Modelin sonucu verdiği en son katmandır.
Gizli katman,Modelin iç hesaplamalarının yapıldığı katmandır.
Ağırlıklar,Modelin girişleri çarparak sonucu etkileyen değerlerdir.
Özellik çıkarımı,Veriden anlamlı öğelerin seçilmesidir.
Etiket,Veriye ait sınıf bilgisidir (örneğin: spam- yazılım terimi).
Doğrulama kümesi,Eğitim esnasında modelin ayarlanmasında kullanılan veri grubudur.
Overfitting,Modelin eğitildiği verilere aşırı uyum sağlaması durumudur.
Underfitting,Modelin yeterince öğrenemediği durumdur.
Dropout,Modelin aşırı öğrenmesini önlemek için bazı nöronların eğitim sırasında kapatılmasıdır.
Veri artırma,Veri miktarını artırmak için çeşitli dönüşümlerle yeni örnekler üretme işlemidir.
Ayrıştırıcı,Veriyi anlamlı parçalara bölen algoritmadır.
NLP,Doğal dil işleme; metinlerle çalışan yapay zeka dalıdır.
Token,Kelimeleri veya parçalarını temsil eden birimlerdir.
Leksik analiz,Metni anlamlı küçük parçalara ayırma sürecidir.
Sözdizimi analizi,Cümle yapısını analiz ederek anlam çıkarma sürecidir.
Özdevinimli öğrenme,Modelin deneme yanılma yoluyla kendi kendine öğrenmesidir.
Gömülü sistem,Yalnızca belli bir görevi gerçekleştirmek için tasarlanmış sistemdir.
Geliştirici,Program yazan ve uygulama geliştiren kişidir.
Kütüphane,Belirli işlevleri gerçekleştiren kod paketidir.
Çevresel bağımlılık,Bir uygulamanın çalışması için gereken dış unsurlar.
Model dosya yolu,Eğitilmiş modelin saklandığı konumun dizinidir.
Makine öğrenimi,Veriden örüntü çıkararak tahmin yapan algoritmalardır.
Ağırlık güncelleme,Eğitim sırasında model parametrelerinin güncellenmesidir.
Veri akışı grafiği,TensorFlow gibi sistemlerde işlemlerin bağlandığı yönlü grafik yapısıdır.
Model kaydetme,Eğitim sonrası modelin sabit diske yazılmasıdır.
Model yükleme,Kayıtlı bir modeli tekrar belleğe almak.
Veri çevirimi,Yabancı dilden gelen metnin başka dile dönüştürülmesi süreci.
Sunucu başlatma,Web uygulamasının çalışmasını başlatma süreci.
Kod modülü,Belirli görevleri gerçekleştiren bağımsız Python dosyasıdır.
Script,Küçük ölçekli otomasyon sağlayan Python dosyası.
Dosya okuma,Bir dosyadaki içeriği belleğe alma işlemi.
Dosya yazma,Bellekteki verilerin dosyaya aktarılması işlemi.
Veri formatı,Bir dosyada bilgilerin nasıl düzenlendiğini gösterir (örneğin: CSV- JSON).
Giriş fonksiyonu,Kullanıcıdan veri alan fonksiyondur.
Veri taşıma,Verileri bir sistemden başka bir sisteme aktarma süreci.
Sürüm kontrolü,Kodun farklı zamanlardaki hallerini takip etmeye yarar (örneğin: Git).
Veritabanı,Yapılandırılmış veri saklama sistemidir.
Sorgulama,Veritabanından veri alma işlemidir.
Rastgelelik,Model eğitiminde öğrenme sırasında çeşitlilik yaratır.
Karar ağacı,Sınıflandırma ya da regresyon yapan bir algoritmadır.
Destek vektör makineleri,Sınıflandırma problemleri için kullanılan ML algoritmasıdır.
Logistic regression,Bir olasılığı tahmin eden istatistiksel modeldir.
Bayes sınıflayıcı,Olasılık kuramına dayalı sınıflandırma algoritmasıdır.
TF-IDF,Kelimenin belgede ve tüm belgelerdeki önemini hesaplayan yöntemdir.
Bag of Words,Bir dokümandaki kelimelerin sıklıklarına dayalı temsil yöntemidir.
Embedding,Metin verilerini sabit boyutlu vektörlere dönüştürme yöntemidir.
Görselleştirme,Verilerin daha anlaşılır sunulması için grafikleştirilmesidir.
Label encoding,Etiketlerin sayılara çevrilmesi işlemidir.
One-hot encoding,Etiketlerin ikili vektörlere dönüştürülmesidir.
Zaman serisi,Verilerin zamanla sıralandığı veri yapısıdır.
Standart sapma,Verilerin ortalamadan ne kadar saptığını gösteren ölçüdür.
Ortalama,Veri kümesinin aritmetik ortalamasıdır.
Medyan,Veri kümesinin ortasındaki değerdir.
Mod,Veri kümesinde en sık geçen değerdir.
Outlier,Veri kümesinden aşırı sapma gösteren değer.
Dağılım,Verilerin yayılma aralığı.
Histogram,Veri sıklığını gösteren grafik türüdür.
Korelasyon,İki değişkenin birbiriyle olan ilişkisini gösterir.
Varyans,Verilerin ortalama etrafındaki yayılımıdır.
Normalize etme,Verilerin belirli bir aralıkta ölçeklenmesidir.
Ölçekleme,Farklı ölçekteki verileri aynı düzeye çekme işlemi.
Etiketli veri,Üzerinde sınıf bilgisi olan veri.
Etiketsiz veri,Sınıf bilgisi olmayan veri.
Denetimli öğrenme,Girdilerle birlikte etiketlerin de verildiği öğrenme biçimi.
Denetimsiz öğrenme,Yalnızca girdilerin verildiği öğrenme türüdür.
Yarı denetimli öğrenme,Az sayıda etiketli veriyle çok sayıda etiketsiz verinin birlikte kullanılmasıdır.
Takviyeli öğrenme,Ödül ve ceza sistemine dayalı öğrenme türüdür.
Model değerlendirme,Eğitilen modelin başarısının ölçülmesidir.
Doğruluk metriği,Model başarısını ölçen değerlendirme aracıdır.
Karmaşıklık matrisi,Tahminlerin sınıflara göre doğruluğunu gösteren tablodur.
Precision,Belirli bir sınıfa ait doğru tahminlerin oranıdır.
Recall,Gerçek sınıf örneklerinin ne kadarının yakalandığını gösterir.
F1 skoru,Precision ve recall’un harmonik ortalamasıdır.
ROC eğrisi,Modelin farklı eşiklerdeki başarısını gösteren grafik.
AUC skoru,ROC eğrisinin altındaki alan; modelin genel doğruluğunu gösterir.
Giriş şekli,Modelin hangi türde veri kabul ettiğini belirten yapı.
Kod organizasyonu,Kodun mantıksal olarak bölümlere ayrılmasıdır.
Sınıf,Objeleri temsil eden ve özellik-metot içeren yapıdır.
Metot,Sınıflar içindeki fonksiyonlardır.
Nesne örneği,Bir sınıftan türetilmiş veri yapısıdır.
Kalıtım,Bir sınıfın başka sınıfın özelliklerini devralmasıdır.
Soyutlama,Detayları gizleyip önemli kısımlara odaklanma prensibidir.
Kapsülleme,Verilerin doğrudan erişimini engelleyerek güvenli hale getirme.
Çok biçimlilik,Farklı sınıfların aynı isimli metotları farklı şekilde kullanabilmesi.
Interface,Bir sınıfın hangi metotlara sahip olacağını tanımlayan yapıdır.
REST API,HTTP üzerinden veri alışverişi yapılmasını sağlayan servis yapısıdır.
Endpoint,Bir API üzerinde erişilebilen spesifik bir URL adresidir.
GET,Sunucudan veri almak için kullanılan HTTP isteğidir.
POST,Sunucuya veri göndermek için kullanılan HTTP isteğidir.
PUT,Var olan veriyi güncellemek için kullanılan HTTP isteğidir.
DELETE,Sunucudaki veriyi silmek için kullanılan HTTP isteğidir.
JSON,Veri değişiminde yaygın olarak kullanılan hafif veri formatıdır.
HTTP,İstemci ve sunucu arasında iletişimi sağlayan protokoldür.
HTTPS,Güvenli veri aktarımı sağlayan şifrelenmiş HTTP protokolüdür.
Request,İstemciden sunucuya yapılan veri talebidir.
Response,Sunucunun istemciye verdiği yanıttır.
Header,HTTP isteklerinde meta bilgileri taşıyan kısımdır.
Payload,HTTP isteği ile gönderilen verinin içeriğidir.
Status code,Sunucunun isteğe verdiği cevabın durumunu belirten sayıdır (örnek: 200- 404).
200 OK,Başarılı bir HTTP isteğini ifade eder.
404 Not Found,İstenilen kaynağın sunucuda bulunmadığını gösterir.
500 Internal Server Error,Sunucu taraflı beklenmeyen hata.
403 Forbidden,Yetkisiz erişim durumunu gösterir.
401 Unauthorized,Kimlik doğrulaması eksik veya hatalı olduğunda döner.
Flask route,Flask uygulamasında URL ile fonksiyon eşlemesini sağlar.
Blueprint,Flask'ta modüler yapıyı destekleyen bileşendir.
Middleware,İstek ve yanıtlar arasında çalışan ara yazılımdır.
CORS,Web uygulamasının başka bir domain'e istek göndermesine izin verir.
Session,Kullanıcıya ait verilerin oturum süresince saklandığı yapıdır.
Cookie,Tarayıcıda küçük veri parçaları olarak saklanan bilgiler.
Token,Kimlik doğrulama ve oturum yönetimi için kullanılan dijital anahtardır.
JWT,Kullanıcı bilgilerini güvenli şekilde taşıyan JSON tabanlı token yapısıdır.
Environment variable,Çevresel yapılandırma değerlerini saklamak için kullanılan sistem değişkenidir.
Virtual environment,Python projeleri için bağımsız çalışma ortamı sağlar.
Requirements.txt,Python projesinin bağımlılıklarını listeleyen dosyadır.
Pip,Python paket yöneticisidir.
Conda,Bilimsel hesaplamalar için kullanılan alternatif paket ve ortam yöneticisidir.
Dependency,Bir projenin düzgün çalışması için gerekli olan dış bileşenlerdir.
Build,Kaynak koddan çalışabilir yazılım üretme sürecidir.
Deployment,Yazılımın sunucuda çalışır hale getirilmesi işlemidir.
DevOps,Yazılım geliştirme ve operasyon süreçlerinin entegrasyonudur.
CI/CD,Yazılımın otomatik olarak test edilip dağıtılmasını sağlayan sistemdir.
Docker,Uygulamaları izole edilmiş konteynerlerde çalıştırma aracıdır.
Container,Bağımsız çalışan yazılım ortamıdır.
Image,Bir konteynerin çalışması için gerekli yapıların tanımlandığı dosyadır.
Dockerfile,Docker image’ini oluşturmak için gerekli talimatların yazıldığı dosyadır.
Kubernetes,Birden fazla konteynerin yönetilmesini sağlayan orkestrasyon sistemidir.
Debugging,Yazılımdaki hataları bulma ve düzeltme işlemidir.
Breakpoint,Kodun çalışmasını belirli bir noktada durduran işaretleyicidir.
Loglama,Programın çalışma sürecinde gerçekleşen olayların kayıt altına alınmasıdır.
Stack trace,Bir hatanın oluştuğu anda çalışan fonksiyonların geçmişi.
Exception,Beklenmeyen durumlar için kullanılan hata sınıfıdır.
Try-Except,Hata durumlarında programın çökmeden devam etmesini sağlayan yapı.
Assertion,Bir ifadenin doğru olup olmadığını kontrol eden test yöntemi.
Unit test,Kodun en küçük parçalarını test eden yöntemdir.
Integration test,Birden fazla bileşenin birlikte çalışma durumunu test eder.
Test case,Belirli bir durumu test etmek için yazılan senaryodur.
Test coverage,Yazılan testlerin kodu ne kadar kapsadığını gösterir.
Mocking,Bir bileşeni taklit ederek test ortamında kullanılmasını sağlar.
TDD,Yazılım testlerini koddan önce yazma yaklaşımıdır.
BDD,Kullanıcı davranışına göre yazılım test senaryoları hazırlama yaklaşımıdır.
Linting,Kodun biçimsel hatalarını denetleyen süreçtir.
PEP8,Python dilinde kodlama standartlarını belirleyen rehberdir.
Refactoring,Kodun işlevini değiştirmeden daha okunabilir ve temiz hale getirilmesidir.
Code smell,Kodda potansiyel problemlere işaret eden yapılar.
Technical debt,Yazılım geliştirmede hızlı çözüm arayışından doğan ileride sorun yaratabilecek eksiklerdir.
Versioning,Yazılımın farklı sürümlerinin yönetilmesidir.
Semantic versioning,Versiyon numaralandırmasında anlamlı artışlar yapılması yöntemidir.
Repository,Projelerin kaynak kodlarının saklandığı depo.
Branch,Bir projenin alternatif geliştirme hattıdır.
Merge,İki kod dalının birleştirilmesidir.
Pull request,Başka bir branch’teki kod değişikliklerini ana branch'e dahil etme isteği.
Commit,Kodda yapılan değişikliklerin açıklama ile kayıt altına alınmasıdır.
Diff,İki commit arasındaki farkları gösteren değişim listesi.
Staging area,Commit yapılmadan önceki geçici alan.
Merge conflict,İki branch birleştirilirken çakışma olması durumu.
Rebase,Bir branch’in tabanını başka bir branch ile güncelleme yöntemi.
Tag,Belirli commit’lere isim verilerek sürüm işaretlenmesidir.
CLI,Komut satırı arayüzüdür.
Terminal,Yazılımcıların CLI üzerinden komut girdiği arayüzdür.
Shell script,Bir dizi komutu çalıştırmak için yazılmış dosyadır.
Bash,Unix ve Linux sistemlerinde kullanılan komut dili.
PowerShell,Windows sistemleri için komut satırı aracıdır.
Cross-platform,Farklı işletim sistemlerinde çalışabilen uygulamadır.
Single-page application,Tek bir HTML sayfası üzerinden çalışan web uygulamasıdır.
Frontend,Tarayıcıda çalışan kullanıcı arayüzüdür.
UI,Kullanıcının yazılımla etkileşim kurduğu görsel arayüzdür.
UX,Kullanıcının yazılımı kullanırken yaşadığı deneyim.
Wireframe,Bir uygulamanın temel yapısının çizildiği şemadır.
Responsive design,Cihaz boyutuna göre uyumlu görünüm sağlayan tasarımdır.
Media query,Ekran boyutuna göre CSS kuralları belirlemeye yarayan yapıdır.
CSS framework,Hazır stillerle tasarımı kolaylaştıran sistemlerdir (örneğin: Bootstrap).
JavaScript framework,Web arayüzlerini kolaylaştırmak için geliştirilen yapılardır (örneğin: React).
Template engine,HTML sayfalarında dinamik içerik oluşturmayı sağlar.
Jinja2,Flask uygulamalarında kullanılan şablon motorudur.
Static files,Değişmeyen dosyalar (örneğin: CSS- JS- görseller).
Form validation,Girilen verilerin kurallara uygunluğunun denetlenmesi süreci.
CSRF,XSS gibi saldırılara karşı form güvenliği sağlamayı amaçlayan koruma yöntemidir.
XSS,Saldırganın siteye kötü amaçlı script enjekte etmesidir.
SQL Injection,Veritabanına zararlı komutların gönderilmesi yoluyla yapılan saldırıdır.
Hashing,Verinin geri döndürülemez biçimde dönüştürülmesidir.
Salting,Hashleme öncesi veriye ek veri (salt) ekleyerek güvenliği artırma yöntemi.
OAuth,Üçüncü taraf uygulamaların güvenli erişim sağlayabileceği yetkilendirme protokolüdür.
Rate limiting,Bir IP veya kullanıcı için belirli zaman diliminde istek sınırı koyma işlemidir.
Captcha,Otomatik botları engellemek için kullanılan testlerdir.
Two-factor authentication,Giriş işlemlerinde iki aşamalı güvenlik uygulamasıdır.
Brute force attack,Tüm olasılıkları deneyerek parola kırmaya çalışan saldırı biçimi.
Observer pattern,Nesnelerin birbirine haber vermesini sağlayan yazılım tasarım desenidir.
Singleton pattern,Bir sınıfın sadece tek bir örneği olması gerektiği durumlar için kullanılan desendir.
Factory pattern,Nesne yaratma sürecini soyutlayan bir tasarım desenidir.
Adapter pattern,Uyumlu olmayan arayüzleri birbirine bağlayan yapıdır.
Decorator pattern,Bir nesnenin davranışını dinamik olarak değiştiren desendir.
Proxy pattern,Bir nesneye erişimi kontrol eden yapı görevi gören tasarım desenidir.
Strategy pattern,Farklı algoritmaları birbirinin yerine geçecek şekilde kullanan desendir.
MVC,Model-View-Controller yapısı; yazılımı 3 parçaya ayırır: veri- arayüz ve iş mantığı.
MVVM,Model-View-ViewModel yapısı; özellikle modern UI frameworklerinde kullanılan mimaridir.
Microservice,Her işlevin bağımsız bir servis olarak ayrıldığı yazılım mimarisi.
Monolithic,Bütün işlevlerin tek uygulama içinde bulunduğu mimari yapıdır.
Scalability,Bir yazılımın artan iş yüküne karşı performansını koruyabilme yeteneğidir.
Latency,Bir isteğin gönderilmesiyle yanıt alınması arasındaki süredir.
Throughput,Bir sistemin birim zamanda işleyebildiği işlem miktarıdır.
Load balancing,Gelen isteklerin birden fazla sunucuya dengeli dağıtılmasıdır.
Caching,Sık kullanılan verilerin geçici olarak saklanması yoluyla hız kazandırılmasıdır.
Memory leak,Gereksiz yere RAM’de tutulan ve temizlenmeyen veri birikimidir.
Garbage collection,Kullanılmayan nesnelerin hafızadan temizlenmesini sağlayan sistemdir.
Thread,Program içinde aynı anda çalışan bağımsız yürütme birimidir.
Process,Bir programın işletim sisteminde çalışan örneğidir.
Concurrency,Aynı anda birden fazla işin yürütülmesi işlemidir.
Parallelism,İşlerin eş zamanlı fiziksel olarak yürütülmesidir.
Asynchronous,Bir işlemin diğerini beklemeden çalışabilmesi durumudur.
Synchronous,Bir işlemin tamamlanmadan diğerine geçilmemesi durumudur.
Event loop,Asenkron işlemleri sırayla çalıştıran yapıdır.
Promise,JavaScript’te asenkron işlemlerde kullanılmak üzere oluşturulan nesnedir.
Callback,Bir işlemin sonunda çağrılan fonksiyondur.
Await,Asenkron fonksiyonun sonucunu beklemek için kullanılır.
Thread-safe,Birden fazla iş parçacığı tarafından güvenli şekilde kullanılabilen yapıdır.
Deadlock,İki işlem birbirini beklediği için ilerleyememe durumudur.
Race condition,Birden fazla işlemin sırasına bağlı olarak yanlış sonuç üretme durumu.
Critical section,İş parçacıklarının erişiminde dikkat gerektiren kod bloğudur.
Semaphore,Eş zamanlı çalışan iş parçacıklarını sınırlamak için kullanılan kontrol yapısı.
Mutex,Aynı anda tek bir iş parçacığının belirli bir bölgeye girmesini sağlayan yapı.
CI/CD pipeline,Kodun sürekli entegrasyon ve dağıtım süreçlerini tanımlayan akış zinciri.
Test automation,Yazılım testlerinin otomatik olarak yapılmasını sağlayan sistemler.
Selenium,Web uygulamalarının testini otomatikleştiren framework.
PyTest,Python için popüler test framework'üdür.
Unittest,Python içinde yerleşik olarak gelen test modülüdür.
Mock,Testlerde bağımlı bileşenleri taklit eden nesnelerdir.
Test suite,Birden fazla testin birlikte çalıştırıldığı test gruplarıdır.
Smoke test,Yazılımın temel fonksiyonlarının çalışıp çalışmadığını hızlıca kontrol eden testtir.
Regression test,Yeni değişikliklerin mevcut özellikleri bozup bozmadığını kontrol eden testtir.
Performance test,Yazılımın hız- yanıt süresi gibi ölçümlerini yapar.
Load test,Bir uygulamanın eşzamanlı kullanıcı yükü altında nasıl davrandığını test eder.
Stress test,Sistem sınırlarını zorlayarak dayanıklılığını test eder.
A/B test,İki farklı versiyonun kullanıcılar üzerindeki etkisini ölçen test yöntemidir.
Usability test,Kullanıcıların yazılımı ne kadar kolay ve etkili kullandığını ölçer.
